order,name,count,price
1,"Натрия хлорид 0,9%, 200 мл, фл",2.0,154.0
2,"Борный спирт 3%, 20 мл, фл.",1.0,51.0
3,"Шприц 2 мл, 3-х комп. (Bioject)",2.0,16.0
4,Система для инфузии Vogt Medical,2.0,60.0
5,Naturella прокладки Классик макси №8,1.0,310.0
6,AURA Ватные диски №150,1.0,461.0
7,Чистая линия скраб мягкий 50 мл,1.0,381.0
8,Чистая линия  скраб очищающийабрикос 50 мл,1.0,386.0
9,Чистая линия скраб мягкий 50 мл,1.0,381.0
10,Carefree салфетки Алоэвоздухопроницаемые №20,1.0,414.0
11,Pro Series Шампунь яркий цвет 500мл,1.0,841.0
12,Pro Series бальзам-ополаскивательдля длител ухода за окрашеннымиволосами Яркий цвет 500мл,1.0,841.0
13,Clear шампунь Актив спорт 2в1мужской  400 мл,1.0,1200.0
14,"Bio World (HYDRO THERAPY)Мицеллярная вода 5в1, 445мл",1.0,1152.0
15,"Bio World (HYDRO THERAPY) Гель-муссдля умывания с гиалуроновойкислотой, 250мл",1.0,1152.0
16,"[RX]-Натрия хлорид 0,9%, 100 мл, фл.",1.0,168.0
17,"[RX]-Дисоль р-р 400 мл, фл.",1.0,163.0
18,"Тагансорбент с иономи серебра №30,пор.",1.0,1526.0
19,"[RX]-Церукал 2%, 2 мл, №10, амп.",2.0,396.0
20,"[RX]-Андазол 200 мг, №40, табл.",1.0,7330.0
